,price_eur,Forecasted Load,Solar,Wind Offshore,Wind Onshore,temp_c,wind_speed_100m,solar_dni,price_yesterday,gas_price
2025-01-02 00:00:00+00:00,146.95,11894.93,0.0,587.0,1638.0,5.75,32.058193,0.0,6.24,50.273
2025-01-02 01:00:00+00:00,148.44,11589.95,0.0,426.0,1342.0,5.5,21.41319,0.0,4.16,50.273
2025-01-02 02:00:00+00:00,138.0,11376.91,0.0,346.0,1145.0,5.1,19.267569,0.0,3.28,50.273
2025-01-02 03:00:00+00:00,100.1,11227.45,0.0,314.0,972.0,4.35,18.47698,0.0,0.68,50.273
2025-01-02 04:00:00+00:00,107.47,11306.1,0.0,303.0,876.0,3.4,17.84271,0.0,0.0,50.273
2025-01-02 05:00:00+00:00,154.68,11817.47,0.0,294.0,791.0,3.1,20.778112,0.0,0.76,50.273
2025-01-02 06:00:00+00:00,174.7,12732.18,0.0,305.0,709.0,2.55,18.648035,0.0,0.79,50.273
2025-01-02 07:00:00+00:00,175.07,13824.5,0.0,300.0,654.0,2.35,18.865683,0.0,1.89,50.273
2025-01-02 08:00:00+00:00,165.37,14367.41,2.0,295.0,622.0,2.1,17.81909,0.0,7.5,50.273
2025-01-02 09:00:00+00:00,136.0,14699.12,444.0,284.0,603.0,2.75,17.82818,204.61012,27.32,50.273
2025-01-02 10:00:00+00:00,111.93,14832.95,1700.0,346.0,685.0,4.0,17.595861,429.6568,37.49,50.273
2025-01-02 11:00:00+00:00,101.52,14835.84,2084.0,405.0,801.0,4.85,18.519018,574.55914,60.1,50.273
2025-01-02 12:00:00+00:00,105.6,14848.31,2253.0,473.0,918.0,5.4,15.455911,554.8447,63.32,50.273
2025-01-02 13:00:00+00:00,118.95,14806.12,1989.0,547.0,1039.0,6.0,15.778518,549.92194,47.0,50.273
2025-01-02 14:00:00+00:00,130.11,14682.94,1704.0,595.0,1164.0,4.95,19.92235,471.9184,50.1,50.273
2025-01-02 15:00:00+00:00,138.81,14837.02,1202.0,689.0,1313.0,4.35,18.442755,183.18175,27.64,50.273
2025-01-02 16:00:00+00:00,153.0,15324.11,46.0,697.0,1382.0,3.2,19.59356,43.50041,79.97,50.273
2025-01-02 17:00:00+00:00,152.99,15465.07,0.0,700.0,1444.0,2.7,22.298214,0.0,95.0,50.273
2025-01-02 18:00:00+00:00,128.0,14854.84,0.0,725.0,1527.0,2.2,22.037323,0.0,95.0,50.273
2025-01-02 19:00:00+00:00,129.17,14495.39,0.0,711.0,1487.0,2.15,22.50072,0.0,81.49,50.273
2025-01-02 20:00:00+00:00,120.0,14042.17,0.0,701.0,1428.0,2.0,22.39608,0.0,68.96,50.273
2025-01-02 21:00:00+00:00,119.9,13527.8,0.0,656.0,1356.0,1.9,24.775349,0.0,46.37,50.273
2025-01-02 22:00:00+00:00,116.07,13009.13,0.0,675.0,1372.0,1.9,23.181597,0.0,38.0,50.273
2025-01-02 23:00:00+00:00,114.32,11346.7,0.0,679.0,1497.0,1.7,22.461807,0.0,101.94,50.273
2025-01-03 00:00:00+00:00,115.0,11236.08,0.0,728.0,1476.0,1.4,21.573734,0.0,146.95,49.622
2025-01-03 01:00:00+00:00,103.0,10998.4,0.0,821.0,1616.0,1.3,21.749481,0.0,148.44,49.622
2025-01-03 02:00:00+00:00,98.0,10840.67,0.0,897.0,1785.0,1.05,21.9253,0.0,138.0,49.622
2025-01-03 03:00:00+00:00,78.15,10700.17,0.0,970.0,1951.0,0.85,24.48,0.0,100.1,49.622
2025-01-03 04:00:00+00:00,71.0,10924.9,0.0,1124.0,2253.0,0.7,25.346148,0.0,107.47,49.622
2025-01-03 05:00:00+00:00,68.96,11550.93,0.0,1256.0,2563.0,0.85,27.360592,0.0,154.68,49.622
2025-01-03 06:00:00+00:00,86.0,12720.07,0.0,1338.0,2828.0,1.5,31.012281,0.0,174.7,49.622
2025-01-03 07:00:00+00:00,112.64,13999.28,0.0,1338.0,2848.0,1.7,33.010742,0.0,175.07,49.622
2025-01-03 08:00:00+00:00,134.51,14851.73,3.0,1328.0,2826.0,1.5,32.424488,0.0,165.37,49.622
2025-01-03 09:00:00+00:00,100.0,14634.74,480.0,1303.0,2825.0,1.85,32.112724,213.98962,136.0,49.622
2025-01-03 10:00:00+00:00,86.6,14089.23,1142.0,1248.0,2521.0,2.95,32.889305,337.02734,111.93,49.622
2025-01-03 11:00:00+00:00,83.8,13849.42,1426.0,1192.0,2168.0,3.55,34.448257,0.0,101.52,49.622
2025-01-03 12:00:00+00:00,97.2,13550.63,1554.0,1113.0,1820.0,4.65,29.00738,489.82602,105.6,49.622
2025-01-03 13:00:00+00:00,117.05,13872.95,1248.0,996.0,1661.0,3.7,26.932714,60.20518,118.95,49.622
2025-01-03 14:00:00+00:00,149.99,14370.68,1055.0,796.0,1553.0,4.1,23.300789,154.0157,130.11,49.622
