"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2025","28.200","27.800","28.325","27.605","53.21K","1.77%"
"12/23/2025","27.710","27.625","27.855","27.275","80.29K","0.08%"
"12/22/2025","27.687","28.150","28.250","27.600","79.52K","-1.68%"
"12/19/2025","28.161","28.035","28.500","27.690","117.28K","1.84%"
"12/18/2025","27.652","27.470","27.940","27.150","96.49K","1.08%"
"12/17/2025","27.357","27.005","27.575","26.995","105.79K","2.22%"
"12/16/2025","26.764","26.905","27.205","26.620","98.65K","-2.41%"
"12/15/2025","27.425","28.050","28.050","27.000","106.46K","-0.94%"
"12/12/2025","27.684","27.000","27.750","26.905","104.76K","3.28%"
"12/11/2025","26.805","27.000","27.130","26.530","90.01K","0.76%"
"12/10/2025","26.602","27.395","27.395","26.535","93.80K","-3.23%"
"12/09/2025","27.489","26.900","27.700","26.900","91.10K","2.30%"
"12/08/2025","26.871","27.100","27.800","26.715","98.17K","-1.45%"
"12/05/2025","27.266","27.215","27.455","26.800","94.99K","0.66%"
"12/04/2025","27.088","28.055","28.055","27.000","103.14K","-3.96%"
"12/03/2025","28.206","28.150","28.305","27.700","75.16K","0.56%"
"12/02/2025","28.050","28.000","28.330","27.515","109.14K","-0.63%"
"12/01/2025","28.227","28.440","28.485","27.750","96.47K","-2.05%"
"11/28/2025","28.817","29.400","29.575","28.615","76.23K","-0.70%"
"11/27/2025","29.021","29.150","29.200","28.830","44.80K","-1.18%"
"11/26/2025","29.368","29.500","29.605","29.130","86.51K","-0.06%"
"11/25/2025","29.386","29.850","29.920","28.975","108.20K","-1.21%"
"11/24/2025","29.747","29.985","30.065","29.200","107.68K","-1.49%"
"11/21/2025","30.198","30.400","30.695","30.075","114.22K","-3.08%"
"11/20/2025","31.159","31.050","31.270","30.675","73.22K","0.71%"
"11/19/2025","30.940","31.400","31.445","30.650","97.23K","-2.38%"
"11/18/2025","31.694","31.650","31.990","31.335","86.84K","0.88%"
"11/17/2025","31.418","31.510","31.665","31.170","79.22K","0.54%"
"11/14/2025","31.250","30.670","31.290","30.515","100.48K","2.60%"
"11/13/2025","30.458","30.940","31.085","30.285","78.34K","-1.54%"
"11/12/2025","30.933","31.300","31.580","30.765","80.24K","-0.54%"
"11/11/2025","31.102","31.080","31.180","30.830","64.22K","0.10%"
"11/10/2025","31.071","31.200","31.440","30.765","77.04K","-0.42%"
"11/07/2025","31.201","31.700","31.700","31.095","79.38K","-1.10%"
"11/06/2025","31.548","31.300","31.795","31.285","75.02K","-0.85%"
"11/05/2025","31.819","32.250","32.250","31.660","83.35K","-2.25%"
"11/04/2025","32.551","31.920","32.575","31.750","78.91K","2.55%"
"11/03/2025","31.741","31.600","31.885","31.485","85.69K","1.99%"
"10/31/2025","31.122","31.350","31.630","31.050","78.65K","0.24%"
"10/30/2025","31.048","31.810","31.900","30.975","36.18K","-2.58%"
"10/29/2025","31.869","31.620","31.900","31.470","61.99K","1.19%"
"10/28/2025","31.494","31.350","31.825","31.120","69.69K","0.30%"
"10/27/2025","31.400","31.825","31.895","31.170","78.00K","-1.92%"
"10/24/2025","32.016","32.000","32.320","31.830","76.07K","-1.35%"
"10/23/2025","32.454","32.250","32.885","32.130","89.77K","2.16%"
"10/22/2025","31.768","32.250","32.325","31.640","82.25K","-1.34%"
